Year,UNIT_MEASURE,Value,M49_country_code,Reference area,Sex,GeoCode
2010,per 100000 population,2.62,KAZ,,,
2011,per 100000 population,1.76,KAZ,,,
2012,per 100000 population,1.24,KAZ,,,
2013,per 100000 population,1.01,KAZ,,,
2014,per 100000 population,0.77,KAZ,,,
2015,per 100000 population,0.95,KAZ,,,
2016,per 100000 population,0.54,KAZ,,,
2017,per 100000 population,0.54,KAZ,,,
2018,per 100000 population,0.58,KAZ,,,
2019,per 100000 population,0.6,KAZ,,,
2020,per 100000 population,0.18,KAZ,,,
2007,,12.090992,KGZ,,,
2008,,10.585236,KGZ,,,
2009,,10.866987,KGZ,,,
2010,,9.159392,KGZ,,,
2011,,9.955113,KGZ,,,
2012,,10.075772,KGZ,,,
2013,,8.0,KGZ,,,
2014,,7.5,KGZ,,,
2015,,5.9,KGZ,,,
2016,,6.0,KGZ,,,
2017,,5.3,KGZ,,,
2018,,5.139872,KGZ,,,
2019,,3.918523,KGZ,,,
2020,,1.914845,KGZ,,,
2021,,1.793169,KGZ,,,
2007,,10.26386,KGZ,,Female,
2008,,8.088592,KGZ,,Female,
2009,,7.22507,KGZ,,Female,
2010,,6.597241,KGZ,,Female,
2011,,7.700463,KGZ,,Female,
2012,,7.084345,KGZ,,Female,
2013,,6.4,KGZ,,Female,
2014,,5.5,KGZ,,Female,
2015,,4.2,KGZ,,Female,
2016,,4.5,KGZ,,Female,
2017,,4.3,KGZ,,Female,
2018,,3.54522,KGZ,,Female,
2019,,2.520831,KGZ,,Female,
2020,,1.745324,KGZ,,Female,
2021,,1.097714,KGZ,,Female,
2007,,13.967856,KGZ,,Male,
2008,,13.149996,KGZ,,Male,
2009,,14.604805,KGZ,,Male,
2010,,11.787756,KGZ,,Male,
2011,,12.267172,KGZ,,Male,
2012,,13.139518,KGZ,,Male,
2013,,9.5,KGZ,,Male,
2014,,9.5,KGZ,,Male,
2015,,7.5,KGZ,,Male,
2016,,7.5,KGZ,,Male,
2017,,6.2,KGZ,,Male,
2018,,6.760797,KGZ,,Male,
2019,,5.337712,KGZ,,Male,
2020,,2.08189,KGZ,,Male,
2021,,2.498928,KGZ,,Male,
2007,,20.180533,KGZ,Batken,,KG05
2008,,20.012808,KGZ,Batken,,KG05
2009,,11.615832,KGZ,Batken,,KG05
2010,,4.57193,KGZ,Batken,,KG05
2011,,11.68605,KGZ,Batken,,KG05
2012,,8.592769,KGZ,Batken,,KG05
2013,,7.1,KGZ,Batken,,KG05
2014,,5.7,KGZ,Batken,,KG05
2015,,4.9,KGZ,Batken,,KG05
